Sr. No.,Police Station,Year,Head,Date,Place_of_offence,Key_location,Week_no.,Geo_Location,Crowd_Density,Crime_Location_Type
182,Anjuna_Ps,2022,Drug Related (NDPS),23-01-2022,Deulwado Chapora,Chapora,1,"(15.5911, 73.7660)",Medium,House
183,Anjuna_Ps,2022,Drug Related (NDPS),03-02-2022,Near Swami Samartha Temple Siolim,Siolim,1,"(15.6298, 73.7793)",Medium,Other (Religious Place)
184,Anjuna_Ps,2022,Drug Related (NDPS),03-02-2022,Near Candle Light Bar & Rest Wadi Siolim,Siolim,3,"(15.6300, 73.7794)",High,Other (Bar)
185,Anjuna_Ps,2022,Drug Related (NDPS),05-02-2022,Near Domino's Pizza Siolim,Siolim,5,"(15.6305, 73.7795)",High,Other (Restaurant)
186,Anjuna_Ps,2022,Drug Related (NDPS),07-04-2022,Zor Waddo Anjuna,Anjuna,2,"(15.5925, 73.7453)",Medium,House
187,Anjuna_Ps,2022,Drug Related (NDPS),18-04-2022,Rocky Garage Goanwadi Anjuna,Anjuna,3,"(15.5928, 73.7454)",Medium,Other (Garage)
188,Anjuna_Ps,2022,Drug Related (NDPS),29-05-2022,Near Vagator Football Ground,Vagator,4,"(15.5945, 73.7455)",High,Other (Sports Ground)
189,Anjuna_Ps,2022,Drug Related (NDPS),12-08-2022,Parking Area Baga Arpora,Arpora,2,"(15.5565, 73.7525)",High,Other (Parking Area)
190,Anjuna_Ps,2022,Drug Related (NDPS),27-08-2022,Curlies Beach Shack Anjuna,Anjuna,4,"(15.5905, 73.7449)",High,Other (Beach Shack)
191,Anjuna_Ps,2022,Drug Related (NDPS),04-09-2022,159 Muddi Zor Anjuna,Anjuna,1,"(15.5929, 73.7456)",Medium,House
192,Anjuna_Ps,2022,Drug Related (NDPS),04-09-2022,Near Gaya Hostel Piquen Peddem Anjuna,Anjuna,1,"(15.5931, 73.7457)",Medium,Other (Hostel)
193,Anjuna_Ps,2022,Drug Related (NDPS),04-09-2022,9 Bar Mirage Club Vagator,Vagator,1,"(15.5948, 73.7458)",High,Other (Club)
194,Anjuna_Ps,2022,Drug Related (NDPS),05-09-2022,Near Ganapati Temple Assagao,Assagao,1,"(15.5914, 73.7661)",Medium,Other (Religious Place)
195,Anjuna_Ps,2022,Drug Related (NDPS),16-09-2022,Near Mango Tree Rest. Vagator,Vagator,3,"(15.5949, 73.7460)",High,Other (Restaurant)
196,Anjuna_Ps,2022,Drug Related (NDPS),25-09-2022,Jungle Hostel Anjuna,Anjuna,4,"(15.5933, 73.7459)",High,Other (Hostel)
197,Anjuna_Ps,2022,Drug Related (NDPS),11-11-2022,Near Electricity Dept Nagao,Nagoa,2,"(15.5926, 73.7662)",Medium,Other (Government Office)
198,Anjuna_Ps,2022,Drug Related (NDPS),30-11-2022,Near Dibs on Blue Premium Hostel Anjuna,Anjuna,5,"(15.5934, 73.7461)",High,Other (Hostel)
199,Anjuna_Ps,2022,Drug Related (NDPS),04-12-2022,Near Cemetery Uddo Beach Siolim,Siolim,1,"(15.6310, 73.7796)",Medium,Other (Cemetery)
200,Anjuna_Ps,2022,Drug Related (NDPS),24-12-2022,Nar Car Parking of Helipad Vagator,Vagator,4,"(15.5952, 73.7462)",High,Other (Parking Area)
201,Anjuna_Ps,2023,Theft (Auto Theft),10-01-2023,Near HDFC Bank Siolim,Siolim,3,"(15.6315, 73.7797)",High,Other (Bank)
202,Anjuna_Ps,2023,Theft (Auto Theft),04-02-2023,Fuldem Vaddo Nagoa,Nagoa,1,"(15.5930, 73.7663)",Medium,House
203,Anjuna_Ps,2023,Theft (Auto Theft),15-02-2023,Near House of Chapora,Chapora,3,"(15.5916, 73.7664)",Medium,House
204,Anjuna_Ps,2023,Theft (Auto Theft),20-04-2023,Porta Vaddo Siolim,Siolim,4,"(15.6320, 73.7798)",Medium,House
205,Anjuna_Ps,2023,Theft (Auto Theft),17-07-2023,Arpora,Arpora,4,"(15.5556, 73.7526)",Medium,Other (General Location)
206,Anjuna_Ps,2023,Theft (Auto Theft),26-10-2023,Near Ajoba Furniture Siolim,Siolim,5,"(15.6325, 73.7799)",Low,Other (Shop)
207,Anjuna_Ps,2023,Theft (House Theft),25-04-2023,Arpora,Arpora,5,"(15.5557, 73.7527)",Medium,Other (General Location)
208,Anjuna_Ps,2023,Theft (House Theft),13-10-2023,Baga Arpora,Arpora,3,"(15.5568, 73.7528)",High,Other (Tourist Area)
209,Anjuna_Ps,2023,Theft (House Theft),22-12-2023,Marinha Doradho Arpora,Arpora,4,"(15.5570, 73.7529)",Medium,Other (Resort)
210,Anjuna_Ps,2023,Theft (HBT Day),07-06-2023,At Room No.7 Goaround Cozy Homes Anjuna,Anjuna,2,"(15.5936, 73.7463)",Medium,Other (Guesthouse)
211,Anjuna_Ps,2023,Theft (HBT Day),21-10-2023,1084/A Madhlem Bhat Siolim,Siolim,4,"(15.6330, 73.7800)",Low,House
212,Anjuna_Ps,2023,Theft (HBT Night),10-03-2023,Poonam Guest House Anjuna,Anjuna,2,"(15.5938, 73.7464)",High,Other (Guesthouse)
213,Anjuna_Ps,2023,Theft (HBT Night),17-06-2023,Siolim,Siolim,3,"(15.6335, 73.7801)",Medium,Other (General Location)
214,Anjuna_Ps,2023,Theft (HBT Night),21-07-2023,59 Bondir Wada Chapora,Chapora,4,"(15.5918, 73.7665)",Medium,House
215,Anjuna_Ps,2023,Theft (HBT Night),03-10-2023,Room No.103 Yoyo Goa Retreat Hotel Vagator,Vagator,2,"(15.5955, 73.7465)",High,Other (Hotel)
216,Anjuna_Ps,2023,Theft (HBT Night),17-11-2023,1393 Kumar Wado Anjuna,Anjuna,3,"(15.5940, 73.7466)",Medium,House
217,Anjuna_Ps,2023,Theft (HBT Night),18-11-2023,Restaurant Bawri Assagao,Assagao,3,"(15.5917, 73.7666)",High,Other (Restaurant)
218,Anjuna_Ps,2023,Assault (Hurt),22-02-2023,Guddem Siolim,Siolim,4,"(15.6340, 73.7802)",Medium,House
219,Anjuna_Ps,2023,Assault (Hurt),06-03-2023,Spazio Resort Anjuna,Anjuna,2,"(15.5943, 73.7467)",High,Other (Resort)
220,Anjuna_Ps,2023,Assault (Hurt),18-03-2023,Green Square Society Bamon Vaddo Siolim,Siolim,3,"(15.6345, 73.7803)",Medium,House
221,Anjuna_Ps,2023,Assault (Hurt),11-04-2023,Muddi Vaddo Anjuna,Anjuna,3,"(15.5945, 73.7468)",Medium,House
222,Anjuna_Ps,2023,Assault (Hurt),11-04-2023,Muddi Waddo Anjuna,Anjuna,3,"(15.5873, 73.7436)",Medium,House
223,Anjuna_Ps,2023,Assault (Hurt),09-05-2023,Simwaddo Arpora,Arpora,2,"(15.5630, 73.7669)",Medium,Road
224,Anjuna_Ps,2023,Assault (Hurt),13-05-2023,Aframent Waddi Siolim,Siolim,2,"(15.6150, 73.7700)",Low,House
225,Anjuna_Ps,2023,Assault (Hurt),18-05-2023,Near Olive Rest Vagator,Vagator,3,"(15.5920, 73.7410)",Medium,Other
226,Anjuna_Ps,2023,Assault (Hurt),23-05-2023,Mdhlembhat Siolim,Siolim,4,"(15.6100, 73.7700)",Low,House
227,Anjuna_Ps,2023,Assault (Hurt),13-06-2023,Near Doo Robs Rest Vagator,Vagator,3,"(15.5925, 73.7405)",Medium,Other
228,Anjuna_Ps,2023,Assault (Hurt),13-08-2023,Shree Dev Sakhleshawar Munag Vaddo Assagao,Assagao,3,"(15.5838, 73.7454)",Medium,House
229,Anjuna_Ps,2023,Assault (Hurt),06-10-2023,Hill Top Assagao,Assagao,2,"(15.5912, 73.7403)",High,Other
230,Anjuna_Ps,2023,Assault (Hurt),29-10-2023,Oxel Siolim,Siolim,5,"(15.6123, 73.7705)",Low,House
231,Anjuna_Ps,2023,Assault (Hurt),29-10-2023,Oxel Siolim,Siolim,5,"(15.5943, 73.7401)",High,Road
232,Anjuna_Ps,2023,Assault (Hurt),02-11-2023,Ozran Vagator,Vagator,1,"(15.5931, 73.7408)",High,Other
233,Anjuna_Ps,2023,Assault (Hurt),27-11-2023,239/4B Oxel Siolim,Siolim,5,"(15.6123, 73.7705)",Medium,House
234,Anjuna_Ps,2023,Assault (Hurt),07-12-2023,Sorranto Waddo Anjuna,Anjuna,2,"(15.5867, 73.7432)",Medium,House
235,Anjuna_Ps,2023,Assault (Hurt),15-12-2023,Near Don Rob Club Vagator,Vagator,3,"(15.5931, 73.7408)",Medium,Other
236,Anjuna_Ps,2023,Assault (Hurt),21-12-2023,Near Sam Home Stay Siolim,Siolim,4,"(15.6171, 73.7689)",Low,House
237,Anjuna_Ps,2023,Assault (Hurt),30-12-2023,HNo.611/1 Vagator,Vagator,5,"(15.5902, 73.7398)",Medium,House
238,Anjuna_Ps,2023,Drug Related (NDPS),31-01-2023,Siolim,Siolim,6,"(15.6123, 73.7705)",Low,Road
239,Anjuna_Ps,2023,Drug Related (NDPS),08-02-2023,Onachem Bhat Anjuna,Anjuna,2,"(15.5890, 73.7425)",Medium,Other
240,Anjuna_Ps,2023,Drug Related (NDPS),13-02-2023,Bamon Vaddo Siolim,Siolim,3,"(15.6135, 73.7699)",Low,House
241,Anjuna_Ps,2023,Drug Related (NDPS),19-02-2023,Vagator Beach,Vagator,4,"(15.5939, 73.7400)",High,Road
242,Anjuna_Ps,2023,Drug Related (NDPS),20-02-2023,Aorchid Aquarium Chaudi Marna Siolim,Siolim,4,"(15.6164, 73.7675)",Low,Other
243,Anjuna_Ps,2023,Drug Related (NDPS),20-03-2023,Near Splesh Down Water Park Anjuna,Anjuna,4,"(15.5881, 73.7421)",High,Other
244,Anjuna_Ps,2023,Drug Related (NDPS),01-04-2023,Bus Stop near St Joseph School Arpora,Arpora,1,"(15.5635, 73.7623)",High,Road
245,Anjuna_Ps,2023,Drug Related (NDPS),04-05-2023,Near Cemetery Huddo Beach Siolim,Siolim,1,"(15.6190, 73.7655)",Low,Other
246,Anjuna_Ps,2023,Drug Related (NDPS),10-06-2023,Near Chapel Baga Arpora,Arpora,2,"(15.5621, 73.7632)",High,Other
247,Anjuna_Ps,2023,Drug Related (NDPS),29-07-2023,Baga End Baga Arpora,Arpora,5,"(15.5594, 73.7661)",High,Road
248,Anjuna_Ps,2023,Drug Related (NDPS),10-08-2023,Near Chapel Porta Vaddo Siolim,Siolim,2,"(15.6175, 73.7682)",Low,House
249,Anjuna_Ps,2023,Drug Related (NDPS),26-10-2023,T Junction Bammon Vaddo Siolim,Siolim,5,"(15.6142, 73.7691)",Low,Road
250,Anjuna_Ps,2023,Drug Related (NDPS),15-11-2023,Near XOXO Bar & Rest Anjuna,Anjuna,3,"(15.5860, 73.7430)",Medium,Other
251,Anjuna_Ps,2023,Drug Related (NDPS),25-11-2023,Near Cross Sonarwado Assagao,Assagao,4,"(15.5832, 73.7460)",Medium,House
252,Anjuna_Ps,2023,Drug Related (NDPS),19-12-2023,Near Fountain View Anjuna,Anjuna,3,"(15.5855, 73.7435)",Medium,Other
253,Anjuna_Ps,2023,Drug Related (NDPS),24-12-2023,Near Splashdown Water Park Anjuna,Anjuna,4,"(15.5881, 73.7421)",High,Other
254,Anjuna_Ps,2024,Theft (Auto Theft),09-01-2024,Near Vegas Supermarket Arpora,Arpora,2,"(15.5645, 73.7629)",High,Other
255,Anjuna_Ps,2024,Theft (Auto Theft),04-04-2024,630/1 Small Vagator,Vagator,1,"(15.5938, 73.7402)",Medium,House
256,Anjuna_Ps,2024,Theft (Auto Theft),31-05-2024,Porta Vaddo Siolim,Siolim,5,"(15.6175, 73.7682)",Low,House
257,Anjuna_Ps,2024,Theft (Auto Theft),29-06-2024,Oxel Siolim,Siolim,5,"(15.6123, 73.7705)",Low,House
258,Anjuna_Ps,2024,Theft (Auto Theft),31-07-2024,Bammon Vaddo Siolim,Siolim,5,"(15.6142, 73.7691)",Low,House
259,Anjuna_Ps,2024,Theft (Auto Theft),20-08-2024,Morajkar Waddo Vagator,Vagator,3,"(15.5926, 73.7412)",Medium,House
260,Anjuna_Ps,2024,Theft (House Theft),02-01-2024,Amada Villa Assagao,Assagao,1,"(15.5838, 73.7454)",Medium,House
261,Anjuna_Ps,2024,Theft (House Theft),07-01-2024,Room No.14 of Anjuna Beach Resort Anjuna,Anjuna,1,"(15.5890, 73.7425)",Medium,House
262,Anjuna_Ps,2024,Theft (House Theft),22-03-2024,Sesh Bar & Rest Anjuna,Anjuna,4,"(15.5865, 73.7430)",High,Other
263,Anjuna_Ps,2024,Theft (House Theft),18-06-2024,Thomsuli Villa Marna Siolim,Siolim,3,"(15.6164, 73.7675)",Low,House
264,Anjuna_Ps,2024,Theft (House Theft),14-08-2024,566 Badem Assagao,Assagao,2,"(15.5812, 73.7461)",Medium,House
265,Anjuna_Ps,2024,Theft (House Theft),17-08-2024,Origin Resort Arpora,Arpora,3,"(15.5632, 73.7621)",High,House
266,Anjuna_Ps,2024,Theft (House Theft),03-09-2024,Ikigai Boutique Hotel Assagao,Assagao,1,"(15.5820, 73.7448)",Medium,Other
267,Anjuna_Ps,2024,Theft (House Theft),08-09-2024,671 Rai Siolim,Siolim,2,"(15.6170, 73.7678)",Low,House
268,Anjuna_Ps,2024,Theft (House Theft),21-09-2024,HDFC ATM Arpora,Arpora,3,"(15.5635, 73.7623)",High,Other
269,Anjuna_Ps,2024,Theft (House Theft),01-11-2024,418 Sim Waddo Arpora,Arpora,1,"(15.5628, 73.7631)",Medium,House
270,Anjuna_Ps,2024,Theft (House Theft),05-11-2024,Samas Rest Vagator,Vagator,1,"(15.5934, 73.7404)",Medium,Other
271,Anjuna_Ps,2024,Theft (House Theft),08-11-2024,Villa 05-EL Ricious Appt Assagao,Assagao,2,"(15.5834, 73.7450)",Medium,House
272,Anjuna_Ps,2024,Theft (House Theft),07-12-2024,Umravi Villa Anjuna,Anjuna,1,"(15.5869, 73.7433)",Medium,House
273,Anjuna_Ps,2024,Theft (HBT Day),31-01-2024,Tarchibhat Siolim,Siolim,5,"(15.6160, 73.7680)",Low,House
274,Anjuna_Ps,2024,Theft (HBT Day),23-11-2024,1818 Gaunwadi Anjuna,Anjuna,4,"(15.5875, 73.7438)",Medium,House
275,Anjuna_Ps,2024,Theft (HBT Night),27-03-2024,A3 Cotempo Villas Marna Siolim,Siolim,4,"(15.6158, 73.7672)",Low,House
276,Anjuna_Ps,2024,Theft (HBT Night),10-04-2024,287 Dabholwada Chapora,Chapora,2,"(15.6016, 73.7415)",High,Road
277,Anjuna_Ps,2024,Theft (HBT Night),20-06-2024,Villa No.B-1 Amariz Rest Vagator,Vagator,3,"(15.5930, 73.7406)",Medium,House
278,Anjuna_Ps,2024,Theft (HBT Night),21-06-2024,YOYO Retreat Vagator,Vagator,3,"(15.5928, 73.7403)",Medium,House
279,Anjuna_Ps,2024,Theft (HBT Night),29-06-2024,Hotel Amani Vagator,Vagator,5,"(15.5925, 73.7401)",Medium,Other
280,Anjuna_Ps,2024,Theft (HBT Night),04-08-2024,St. Joseph High School Arpora,Arpora,1,"(15.5630, 73.7625)",High,Other
281,Anjuna_Ps,2024,Assault (Hurt),03-01-2024,Nagoa,Nagoa,1,"(15.5568, 73.7795)",Low,House
282,Anjuna_Ps,2024,Assault (Hurt),09-02-2024,Igrezwaddo Marna Siolim,Siolim,2,"(15.6169, 73.7670)",Low,House
283,Anjuna_Ps,2024,Assault (Hurt),13-03-2024,Sonarkhend Assagao,Assagao,2,"(15.5841, 73.7467)",Medium,House
284,Anjuna_Ps,2024,Assault (Hurt),26-03-2024,Near 6 Pack Rest Anjuna,Anjuna,4,"(15.5870, 73.7432)",Medium,Other
285,Anjuna_Ps,2024,Assault (Hurt),07-04-2024,Near Domino's Shop Siolim,Siolim,2,"(15.6128, 73.7703)",Medium,Other
286,Anjuna_Ps,2024,Assault (Hurt),11-04-2024,Guddem Siolim,Siolim,2,"(15.6165, 73.7683)",Low,House
287,Anjuna_Ps,2024,Assault (Hurt),15-05-2024,Near Thalasa Rest Siolim,Siolim,3,"(15.6147, 73.7695)",High,Other
288,Anjuna_Ps,2024,Assault (Hurt),17-05-2024,EL Patron Rest Wadi Siolim,Siolim,3,"(15.6139, 73.7690)",Medium,Other
289,Anjuna_Ps,2024,Assault (Hurt),02-06-2024,254 Ghorbhat Vaddo Arpora,Arpora,1,"(15.5647, 73.7630)",Medium,House
290,Anjuna_Ps,2024,Assault (Hurt),12-06-2024,373 Sonarkhend Assagao,Assagao,2,"(15.5843, 73.7465)",Medium,House
291,Anjuna_Ps,2024,Assault (Hurt),07-07-2024,1069 Aim Vaddo Anjuna,Anjuna,1,"(15.5868, 73.7437)",Medium,House
292,Anjuna_Ps,2024,Assault (Hurt),10-07-2024,168/1 Sim Vaddo Arpora,Arpora,2,"(15.5629, 73.7628)",Medium,House
293,Anjuna_Ps,2024,Assault (Hurt),30-07-2024,Near Joe Philip Height Residency Arpora,Arpora,5,"(15.5638, 73.7625)",Medium,House
294,Anjuna_Ps,2024,Assault (Hurt),20-08-2024,Rumba Club Assagao,Assagao,3,"(15.5835, 73.7458)",Medium,Other
295,Anjuna_Ps,2024,Assault (Hurt),22-09-2024,Dando Siolim,Siolim,4,"(15.6152, 73.7679)",Low,House
296,Anjuna_Ps,2024,Assault (Hurt),01-10-2024,Thalassa Siolim,Siolim,1,"(15.6147, 73.7695)",High,Other
297,Anjuna_Ps,2024,Assault (Hurt),06-12-2024,Near Baga Creek Baga Arpora,Arpora,1,"(15.5586, 73.7675)",High,Road
298,Anjuna_Ps,2024,Drug Related (NDPS),25-01-2024,Near Football Ground Siolim,Siolim,4,"(15.6173, 73.7676)",Medium,Other
299,Anjuna_Ps,2024,Drug Related (NDPS),25-01-2024,Baga End Baga Arpora,Arpora,4,"(15.5594, 73.7661)",High,Road
300,Anjuna_Ps,2024,Drug Related (NDPS),30-01-2024,GTDC Parking Anjuna,Anjuna,5,"(15.5882, 73.7427)",High,Other
301,Anjuna_Ps,2024,Drug Related (NDPS),01-02-2024,Near Baga Creek Baga Arpora,Arpora,1,"(15.5586, 73.7675)",High,Road
302,Anjuna_Ps,2024,Drug Related (NDPS),15-03-2024,La Viola Villas Zor Waddo Anjuna,Anjuna,3,"(15.5893, 73.7423)",Medium,House
303,Anjuna_Ps,2024,Drug Related (NDPS),06-04-2024,Splashdown Water Park Anjuna,Anjuna,1,"(15.5881, 73.7421)",High,Other
304,Anjuna_Ps,2024,Drug Related (NDPS),19-04-2024,Near Poonam Guest House Anjuna,Anjuna,3,"(15.5867, 73.7431)",Medium,House
305,Anjuna_Ps,2024,Drug Related (NDPS),12-05-2024,Near Monkey Bar Gumal Vaddo Anjuna,Anjuna,2,"(15.5872, 73.7435)",Medium,Other
306,Anjuna_Ps,2024,Drug Related (NDPS),08-06-2024,Near Chapel Sonarkhend Assagao,Assagao,2,"(15.5841, 73.7467)",Medium,House
307,Anjuna_Ps,2024,Drug Related (NDPS),08-07-2024,Near Bank of Baroda Anjuna,Anjuna,2,"(15.5863, 73.7436)",Medium,Other
308,Anjuna_Ps,2024,Drug Related (NDPS),08-07-2024,Near XOXO Bar & Rest Anjuna,Anjuna,4,"(15.5860, 73.7430)",Medium,Other
309,Anjuna_Ps,2024,Drug Related (NDPS),23-08-2024,Near Chapel Dias Vaddo Nagoa,Nagoa,4,"(15.5569, 73.7796)",Low,House
310,Anjuna_Ps,2024,Drug Related (NDPS),25-09-2024,Near St. Michael Church Anjuna,Anjuna,3,"(15.5865, 73.7442)",Medium,Other
311,Anjuna_Ps,2024,Drug Related (NDPS),16-10-2024,Near Siolim Football Ground Siolim,Siolim,4,"(15.6173, 73.7676)",Medium,Other
312,Anjuna_Ps,2024,Drug Related (NDPS),24-10-2024,Madhlem Bhat Siolim,Siolim,4,"(15.6162, 73.7674)",Low,House
313,Anjuna_Ps,2024,Drug Related (NDPS),25-10-2024,Near Village Panchayat Hall Vagator,Vagator,1,"(15.5929, 73.7405)",Medium,Other
314,Anjuna_Ps,2024,Drug Related (NDPS),05-11-2024,Baga Creek,Baga,2,"(15.5586, 73.7675)",High,Road
315,Mapusa_Ps,2019,Theft (Auto Theft),12-07-2018,At Khorlim Mapusa Bardez Goa (MMC),Mapusa (MMC),1,"(15.5950, 73.8113)",High,Road
316,Mapusa_Ps,2019,Theft (Auto Theft),01-08-2019,"At in front of Palmar Green Apartment, Abbaswado, Canca Bardez Goa (Canca Verla,Canca)",Canca Verla,3,"(15.5765, 73.7982)",Medium,House
317,Mapusa_Ps,2019,Theft (Auto Theft),20-12-2018,At opposite Pednekar Jeweller Municipal Market Mapusa Bardez Goa (MMC),Mapusa (MMC),3,"(15.5973, 73.8120)",High,Road
318,Mapusa_Ps,2019,Theft (Auto Theft),20-01-2019,At in front of Braganza Hotel Mapusa Bardez Goa (MMC),Mapusa (MMC),3,"(15.5938, 73.8105)",High,Other
319,Mapusa_Ps,2019,Theft (Auto Theft),15-02-2019,"At near municipal Fish Market, Mapusa Bardez Goa (MMC)",Mapusa (MMC),4,"(15.5956, 73.8118)",High,Other
320,Mapusa_Ps,2019,Theft (Auto Theft),22-02-2019,At in front of Remy Photo Studio Mapusa Bardez Goa (MMC),Mapusa (MMC),1,"(15.5967, 73.8109)",High,Other
321,Mapusa_Ps,2019,Theft (Auto Theft),02-02-2019,"At near Carvalho Petrol Pump, Mapusa Bardez Goa (MMC)",Mapusa (MMC),1,"(15.5971, 73.8103)",High,Other
322,Mapusa_Ps,2019,Theft (Auto Theft),01-09-2019,At in front of Pednekar Jewellers Municipal Market Mapusa Bardez Goa (MMC),Mapusa (MMC),1,"(15.5973, 73.8120)",High,Other
323,Mapusa_Ps,2019,Theft (Auto Theft),04-01-2019,"At in front of Ravalnath General Store, Freitas Wado, Verla,Canca Bardez Goa (Residential Area)","Verla,Canca",5,"(15.5762, 73.7980)",Medium,House
324,Mapusa_Ps,2019,Theft (Auto Theft),30-03-2019,At Voilowado Madel Thivim Bardez Goa (Thivim),Thivim,4,"(15.6271, 73.8294)",Low,House
325,Mapusa_Ps,2019,Theft (Auto Theft),26-10-2019,At Nr Mapusa Clinic Mapusa Bardez Goa (MMC),Mapusa (MMC),1,"(15.5943, 73.8117)",High,Other
326,Mapusa_Ps,2019,Theft (Auto Theft),03-02-2019,At Nr Ram Temple Teen Mad Sodiem Siolim Bardez Goa (Siolim),Siolim,4,"(15.6157, 73.7678)",Medium,Other
327,Mapusa_Ps,2019,Theft (Auto Theft),27-07-2019,At opposite Vijay Fashion Tailor Mapusa Bardez Goa (MMC),Mapusa (MMC),3,"(15.5965, 73.8109)",High,Other
328,Mapusa_Ps,2019,Theft (Auto Theft),20-07-2019,"At near Main entrance gate of premises of Glem Mark Pharmaceutical IDC, Colvale Bardez Goa (Industrial Area)",Colvale,4,"(15.6568, 73.8302)",Medium,Other
329,Mapusa_Ps,2019,Theft (Auto Theft),28-09-2019,"At in front of house of Vishwas Arlekar, Freitas Wado, Verla,Canca Canca Bardez Goa (Residential Area)","Verla,Canca",2,"(15.5762, 73.7980)",Low,House
330,Mapusa_Ps,2019,Theft (Auto Theft),10-03-2019,"At premises of ZLS building, Housing board Colony, Colvale Bardez Goa (Colvale)",Colvale,3,"(15.6581, 73.8321)",Medium,Other
331,Mapusa_Ps,2019,Theft (Auto Theft),20-11-2019,"At Survemwado, Guirim Bardez Goa (Guirim)",Guirim,3,"(15.5742, 73.7934)",Low,House
332,Mapusa_Ps,2019,Theft (Auto Theft),17-12-2019,"At near Green Park Hotel Bus Stop, Guirim Mapusa Bardez Goa (MMC)",Mapusa (MMC),5,"(15.5739, 73.7927)",Medium,Road
333,Mapusa_Ps,2019,Theft (Auto Theft),29-12-2019,"At Vanciowado, Guirim Bardez Goa (Guirim)",Guirim,1,"(15.5728, 73.7921)",Low,House
334,Mapusa_Ps,2019,Theft (Auto Theft),01-09-2018,At H No 73 Ponxem Damadem Madel Thivim Bardez Goa (Thivim),Thivim,1,"(15.6280, 73.8289)",Low,House
335,Mapusa_Ps,2019,Theft (House Theft),02-03-2018,At in Nursery Hut opposite Chapel Calangute Road after Bodgini Mapusa Bardez Goa (MMC),Mapusa (MMC),3,"(15.5951, 73.8122)",Medium,Other
336,Mapusa_Ps,2019,Theft (House Theft),16-03-2019,At Nr Navtara Hotel Mapusa Bardez Goa (MMC),Mapusa (MMC),4,"(15.5947, 73.8119)",High,Other
337,Mapusa_Ps,2019,Theft (House Theft),25-04-2019,At Shop styled as “Abhay Mobile & Electronics” shop No A-2/27 Nr Vegetable Municipal Market Mapusa Bardez Goa (MMC),Mapusa (MMC),4,"(15.5960, 73.8125)",High,Other
338,Mapusa_Ps,2019,Theft (House Theft),24-05-2019,"At Mapusa Market, Mapusa Bardez Goa (MMC)",Mapusa (MMC),3,"(15.5973, 73.8120)",High,Other
339,Mapusa_Ps,2019,Theft (House Theft),21-07-2019,"At shop styled as “Bharat Key Maker” shop No 101, Nr Carvalho Petrol Pump Mapusa Bardez Goa (MMC)",Mapusa (MMC),4,"(15.5971, 73.8103)",High,Other
340,Mapusa_Ps,2019,Theft (House Theft),24-09-2019,"At premises of ATM Counter, GP Parshik Bank Kavlekar Tower, Xim Khorlim Mapusa Bardez Goa (MMC)",Mapusa (MMC),2,"(15.5954, 73.8111)",High,Other
341,Mapusa_Ps,2019,Theft (House Theft),11-01-2019,"At ATM Counter HDFC Bank premises, Colvale Bardez Goa (Bank Area)",Colvale,5,"(15.6558, 73.8309)",Medium,Other
342,Mapusa_Ps,2019,Theft (House Theft),31-12-2019,"At H No 202B, Xelpem Cuchelim Mapusa Bardez Goa (MMC)",Mapusa (MMC),1,"(15.5980, 73.8102)",Low,House
343,Mapusa_Ps,2019,Theft (House Theft),06-03-2019,At Shree Sai Bhakti Mandir Sainagar Aldona Bardez Goa (Aldona),Aldona,1,"(15.6337, 73.8773)",Medium,Other
344,Mapusa_Ps,2019,Theft (House Theft),02-08-2019,At H No 98/B/6 St.Anthonywado Guirim Bardez Goa (Guirim),Guirim,2,"(15.5733, 73.7929)",Low,House
345,Mapusa_Ps,2019,Theft (Chain Snatching),14-02-2019,At Camarkhajan Mapusa Bardez Goa (MMC),Mapusa (MMC),1,"(15.5963, 73.8115)",Medium,Other
346,Mapusa_Ps,2019,Theft (Chain Snatching),03-06-2019,At Atafonde Moira Bardez Goa (Moira),Moira,3,"(15.6230, 73.8550)",Low,House
347,Mapusa_Ps,2019,Theft (HBT Night),20-03-2019,"At shop styled as “D.K. Wine Store” H.No 303-A, Verla,Canca Canca Bardez Goa (Wine Store)",Canca Verla,1,"(15.5760, 73.7981)",Medium,Other
348,Mapusa_Ps,2019,Theft (HBT Night),06-10-2019,"At H No 124/2, Rodrigues House Gaunsawado Sodiem Siolim Bardez Goa (Siolim)",Siolim,1,"(15.6165, 73.7708)",Low,House
349,Mapusa_Ps,2019,Theft (HBT Night),07-06-2019,"At H. No. 243, Primeriwado, Corjuvem, Aldona Bardez Goa (Aldona)",Aldona,1,"(15.6215, 73.8752)",Low,House
350,Mapusa_Ps,2019,Theft (HBT Night),20-10-2019,"At shop No. 137, styled as M/S Gajanan Dhavjakar, Municipal Market Mapusa Bardez Goa (MMC)",Mapusa (MMC),3,"(15.5973, 73.8120)",High,Other
351,Mapusa_Ps,2019,Theft (HBT Night),16-11-2019,"At shop No. 136, styled as Ayurved, Municipal Market Mapusa Bardez Goa (MMC)",Mapusa (MMC),3,"(15.5973, 73.8120)",High,Other
352,Mapusa_Ps,2019,Theft (HBT Night),01-05-2019,At H No 131/1 Housing board Colvale Mushirwado Bardez Goa (Colvale),Colvale,1,"(15.6568, 73.8302)",Medium,House
353,Mapusa_Ps,2019,Theft (HBT Night),14-01-2019,"At H. No. 1468/60, Faj Housing colony Madel Thivim Bardez Goa (Thivim)",Thivim,2,"(15.6271, 73.8294)",Medium,House
